Year,Annual_CPI,Annual_Inflation,annual_poverty-level_wage,hourly_poverty-level_wage,share_below_poverty_wages,300%+_of_poverty_wages,men_share_below_poverty_wages,men_300%+_of_poverty_wages,women_share_below_poverty_wages,women_300%+_of_poverty_wages,white_share_below_poverty_wages,white_men_share_below_poverty_wages,white_women_share_below_poverty_wages,black_share_below_poverty_wages,black_men_share_below_poverty_wages,black_women_share_below_poverty_wages,hispanic_share_below_poverty_wages,hispanic_men_share_below_poverty_wages,hispanic_women_share_below_poverty_wages,Interest_Rate,GDP_Per_Capita,diff_poverty_share
2010,218.06,1.64,20634,9.92,20.5,17.6,16.9,21.4,24.3,13.6,17.5,13.6,21.6,25.0,22.1,27.4,31.7,27.4,37.6,0.17624657534246574,48650.64,7.4
2011,224.94,3.16,21278,10.23,24.8,16.8,21.5,20.4,28.3,12.9,20.9,17.1,24.9,31.6,29.2,33.6,38.3,35.5,42.3,0.10150684931506851,50065.97,6.8
2012,229.59,2.07,21715,10.44,24.9,16.7,21.0,20.6,29.1,12.5,20.8,16.6,25.4,31.0,28.2,33.3,38.3,34.1,43.7,0.14057377049180328,51784.42,8.1
2013,232.96,1.47,22048,10.6,25.0,17.3,21.5,21.1,28.8,13.2,20.8,16.9,24.9,31.9,29.0,34.4,38.2,34.8,42.7,0.10734246575342465,53291.13,7.3
2014,236.74,1.62,22422,10.78,24.4,16.9,20.5,20.3,28.5,13.2,20.2,16.0,24.6,32.4,30.2,34.3,36.2,31.7,42.1,0.08849315068493149,55123.85,8.0
2015,237.02,0.12,22464,10.8,23.0,18.2,19.3,21.9,27.0,14.2,18.9,15.2,22.9,31.8,28.3,34.8,33.5,29.1,39.2,0.13372602739726028,56762.73,7.7
2016,240.01,1.26,22755,10.94,20.8,18.9,17.2,22.6,24.6,14.9,17.3,14.0,20.8,28.8,25.1,32.0,29.2,24.7,35.1,0.39319672131147543,57866.74,7.4
2017,245.12,2.13,23244,11.18,20.4,19.4,16.8,23.4,24.3,15.1,16.8,13.4,20.5,29.1,26.4,31.4,28.5,23.7,34.8,1.0013774104683195,59907.75,7.5
2018,251.11,2.44,23809,11.45,18.1,19.4,14.4,23.3,22.0,15.2,15.0,11.6,18.7,26.0,23.1,28.5,24.3,19.3,30.7,1.7895959595959596,62823.31,7.6
2019,255.66,1.81,24242,11.65,15.7,20.3,12.5,24.2,19.0,16.0,13.4,10.5,16.6,22.3,19.2,24.9,19.7,15.8,24.6,2.1630677290836653,65120.39,6.5
2020,258.81,1.23,24544,11.8,12.0,22.6,9.5,26.7,14.8,18.1,10.4,7.9,13.1,18.1,15.4,20.5,14.9,12.0,18.6,0.36264822134387353,63530.63,5.3
2021,270.97,4.7,25688,12.35,12.9,21.5,10.5,25.3,15.6,17.4,11.1,8.7,13.8,18.0,15.7,19.9,16.8,14.2,20.0,0.07800000000000001,70248.63,5.1
